Disease	Disease_id	RELATION	PROVENANCE	Gene	Gene_id
Myotonic Dystrophy	C0027126	IS_TREATED	["2320244_fullText_2"]	CKM gene	C1413435
Myotonic Dystrophy	C0027126	IS_TREATED	["9353981_fullText_1","8566945_fullText_4"]	Alleles	C0002085
Myopathy	C0026848	IS_TREATED	["37644541_fullText_40"]	NGLY1 gene	C1425023
Metabolic Diseases	C0025517	IS_TREATED	["17637719_fullText_6"]	Transgenes	C0282641
Metabolic Diseases	C0025517	IS_TREATED	["34999954_fullText_3"]	SLC10A7 gene	C1822740
Metabolic Diseases	C0025517	IS_TREATED	["36128717_fullText_17"]	AASS gene	C1424938
Metabolic Diseases	C0025517	IS_TREATED	["36870649_fullText_2"]	MARK4 gene	C1422048
Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844	IS_TREATED	["33491267_fullText_2","3862128_fullText_1"]	PAH gene	C1418251
Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844	IS_TREATED	["7902323_fullText_4","1301942_fullText_1"]	Locus	C1708726
Inflammatory disorder	C1290884	IS_TREATED	["37047682_fullText_4"]	P2RY12 gene	C1425330
Inflammatory disorder	C1290884	IS_TREATED	["35278404_fullText_8"]	ADORA3 gene	C1412251
Mitochondrial Diseases	C0751651	IS_TREATED	["31356884_fullText_3"]	MELAS gene	C1417109
Leigh Disease	C0023264	IS_TREATED	["18778816_fullText_6"]	PGD gene	C1418504
Leigh Disease	C0023264	IS_TREATED	["35217561_fullText_55"]	MT-ND1 gene	C1537989
Leigh Disease	C0023264	IS_TREATED	["28916769_fullText_2","34849584_fullText_311"]	NDUFS4 gene	C1417647
Leigh Disease	C0023264	IS_TREATED	["38316835_fullText_25"]	Candidate Disease Gene	C1332838
Leigh Disease	C0023264	IS_TREATED	["11044474_fullText_5","25164807_fullText_97","23829769_fullText_17","30059502_fullText_73"]	SURF1 gene	C1420527
Leigh Disease	C0023264	IS_TREATED	["27390132_fullText_9"]	SLC25A46 gene	C1822755
Leigh Disease	C0023264	IS_TREATED	["30140060_fullText_2"]	MT-ATP6 gene	C1537983
Leigh Disease	C0023264	IS_TREATED	["11044474_fullText_5"]	SCO2 gene	C1419873
Cytochrome-c Oxidase Deficiency	C0268237	IS_TREATED	["22729865_fullText_6"]	Retinoic Acid Response Element	C1514917
Cytochrome-c Oxidase Deficiency	C0268237	IS_TREATED	["34627336_fullText_125"]	SURF1 gene	C1420527
Mitochondrial Myopathies	C0162670	IS_TREATED	["32366037_fullText_21"]	MT-ND5 gene	C1537994
Mitochondrial Myopathies	C0162670	IS_TREATED	["32366037_fullText_21"]	MELAS gene	C1417109
Optic Atrophy, Hereditary, Leber	C0917796	IS_TREATED	["10412694_fullText_3"]	MELAS gene	C1417109
Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	C0342776	IS_TREATED	["34627336_fullText_125"]	Genes, Mitochondrial	C1563761
Lesion of brain	C0221505	IS_TREATED	["36056365_fullText_52"]	NDUFS4 gene	C1417647
MITOCHONDRIAL COMPLEX I DEFICIENCY	C1838979	IS_TREATED	["28916769_fullText_45"]	NDUFS4 gene	C1417647
Liver diseases	C0023895	IS_TREATED	["17393522_fullText_8"]	PEX2 gene	C1419149
Leukoencephalopathies	C0270612	IS_TREATED	["28857146_fullText_4"]	Exome	C3178814
Migraine Disorders	C0149931	IS_TREATED	["35076091_fullText_1","35076091_fullText_7"]	IMPACT gene	C1825598
