Disease	Disease_id	RELATION	PROVENANCE	Drug	Drug_id
Migraine Disorders	C0149931	IS_TREATED	["34382533_fullText_10"]	Dopamine Antagonists	C0242702
Dyskinetic syndrome	C0013384	IS_TREATED	["37774703_fullText_1"]	Dopamine Antagonists	C0242702
Gastroparesis	C0152020	IS_TREATED	["36749528_fullText_1"]	Dopamine Antagonists	C0242702
Chronic Kidney Insufficiency	C0403447	IS_TREATED	["36040016_fullText_7"]	Nadolol	C0027302
Hypertensive disease	C0020538	IS_TREATED	["36040016_fullText_1"]	Nadolol	C0027302
Hypertensive disease	C0020538	IS_TREATED	["35855505_fullText_4"]	Nadolol	C0027302
Chronic heart failure	C0264716	IS_TREATED	["33874876_fullText_1"]	Vasodilator Agents	C0042402
Primary Raynaud's	C0151445	IS_TREATED	["33998674_fullText_24"]	Vasodilator Agents	C0042402
Gastroesophageal reflux disease	C0017168	IS_TREATED	["34675338_fullText_2"]	GABA-B Receptor Agonists	C2936800
Myotonic Dystrophy	C0027126	IS_TREATED	["19506327_fullText_4"]	pioglitazone	C0071097
Reactive hypoglycemia	C0271710	IS_TREATED	["19999145_fullText_10"]	pioglitazone	C0071097
Hyperinsulinism	C0020459	IS_TREATED	["19999145_fullText_10"]	pioglitazone	C0071097
Nocturia	C0028734	IS_TREATED	["36067995_fullText_5"]	Adrenergic alpha-Antagonists	C0001641
Hypertensive disease	C0020538	IS_TREATED	["37436689_fullText_3","35775356_fullText_1"]	Adrenergic alpha-Antagonists	C0001641
Cataplexy	C0007384	IS_TREATED	["37233887_fullText_1"]	agonists and antagonists	C0682770
Narcolepsy	C0027404	IS_TREATED	["37233887_fullText_1"]	agonists and antagonists	C0682770
Parkinson Disease	C0030567	IS_TREATED	["34525848_fullText_1"]	Anticholinergic Agents	C0242896
Parkinsonian Disorders	C0242422	IS_TREATED	["36354229_fullText_5"]	Anticholinergic Agents	C0242896
Nocturia	C0028734	IS_TREATED	["36576454_fullText_3","36585172_fullText_6"]	Anticholinergic Agents	C0242896
Sialorrhea	C0037036	IS_TREATED	["35594794_fullText_10"]	Anticholinergic Agents	C0242896
Incontinence	C0021167	IS_TREATED	["36576454_fullText_3"]	Anticholinergic Agents	C0242896
Focal Dystonia	C0743332	IS_TREATED	["36354229_fullText_8"]	Anticholinergic Agents	C0242896
Acute asthma	C0582415	IS_TREATED	["35072366_fullText_4"]	Anticholinergic Agents	C0242896
Low compliance bladder	C0489967	IS_TREATED	["37188601_fullText_7"]	Anticholinergic Agents	C0242896
Parkinson Disease	C0030567	IS_TREATED	["34525848_fullText_2"]	Anticholinergic Agents	C0242896
Overactive Bladder	C0878773	IS_TREATED	["37244459_fullText_2","37713027_fullText_3"]	Anticholinergic Agents	C0242896
Asthma	C0004096	IS_TREATED	["37428619_fullText_5"]	Anticholinergic Agents	C0242896
nervous system disorder	C0027765	IS_TREATED	["34481450_fullText_5"]	duloxetine	C0245561
Irritable Bowel Syndrome	C0022104	IS_TREATED	["36468983_fullText_9"]	duloxetine	C0245561
Neuropathy	C0442874	IS_TREATED	["35754070_fullText_12"]	duloxetine	C0245561
Overactive Bladder	C0878773	IS_TREATED	["34346046_fullText_10"]	duloxetine	C0245561
Incontinence	C0021167	IS_TREATED	["37386151_fullText_5"]	duloxetine	C0245561
Strudwick syndrome	C0700635	IS_TREATED	["37259037_fullText_4"]	Paroxetine	C0070122
Functional Gastrointestinal Disorders	C0559031	IS_TREATED	["35700562_fullText_1"]	Paroxetine	C0070122
Gastric ulcer	C0038358	IS_TREATED	["37907775_fullText_4"]	Proton Pump Inhibitors	C0358591
reflex disorder	C0597367	IS_TREATED	["34089392_fullText_1"]	Proton Pump Inhibitors	C0358591
Gastroesophageal reflux disease	C0017168	IS_TREATED	["33860641_fullText_1","37843943_fullText_4","37458926_fullText_1"]	Proton Pump Inhibitors	C0358591
Virus Diseases	C0042769	IS_TREATED	["35672014_fullText_8"]	Proton Pump Inhibitors	C0358591
Gastric ulcer	C0038358	IS_TREATED	["37907775_fullText_4"]	Proton Pump Inhibitors	C0358591
Asthma	C0004096	IS_TREATED	["36622684_fullText_6"]	Proton Pump Inhibitors	C0358591
Stomach Diseases	C0038354	IS_TREATED	["36847276_fullText_4"]	Histamine H2 Antagonists	C0019593
Gastroesophageal reflux disease	C0017168	IS_TREATED	["33860641_fullText_1","37843943_fullText_4","35578169_fullText_2"]	Histamine H2 Antagonists	C0019593
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["37690008_fullText_6"]	Prednisone	C0032952
Gastrointestinal Diseases	C0017178	IS_TREATED	["36519289_fullText_3"]	Ranitidine	C0034665
Gastroparesis	C0152020	IS_TREATED	["36749528_fullText_6"]	Metoclopramide	C0025853
Coronary Arteriosclerosis	C0010054	IS_TREATED	["35994706_fullText_5"]	Ticagrelor	C1999375
Chronic Kidney Diseases	C1561643	IS_TREATED	["34274518_fullText_2"]	Ticagrelor	C1999375
Acute Coronary Syndrome	C0948089	IS_TREATED	["34233865_fullText_1","34664214_fullText_9","37757520_fullText_2","35644848_fullText_6"]	Ticagrelor	C1999375
Myocardial Infarction	C0027051	IS_TREATED	["33712510_fullText_1"]	Ticagrelor	C1999375
post mi	C0856742	IS_TREATED	["33758122_fullText_6"]	Ticagrelor	C1999375
Acute Coronary Syndrome	C0948089	IS_TREATED	["35570383_fullText_9"]	Ticagrelor	C1999375
Acute Coronary Syndrome	C0948089	IS_TREATED	["37751668_fullText_1","35570383_fullText_9"]	Ticagrelor	C1999375
Old myocardial infarction	C0155668	IS_TREATED	["33758122_fullText_6"]	Ticagrelor	C1999375
