Disease	Disease_id	RELATION	PROVENANCE	Drug	Drug_id
Obesity	C0028754	IS_TREATED	["34242511_fullText_7"]	Carbidopa	C0006982
Chronic inflammatory disorder	C1290886	IS_TREATED	["36413346_fullText_4"]	Carbidopa	C0006982
Chronic pain	C0150055	IS_TREATED	["36122809_fullText_1","36913400_fullText_12"]	Carbidopa	C0006982
Chronic arthritis	C0263680	IS_TREATED	["35887239_fullText_3"]	Carbidopa	C0006982
Phenylketonuria II	C0268465	IS_TREATED	["2878984_fullText_7"]	Leucovorin	C0023413
Malaria, Falciparum	C0024535	PRODUCES	["10627868_fullText_6"]	Histamine	C0019588
Urticaria	C0042109	IS_TREATED	["35538735_fullText_1"]	Histamine H1 Antagonists	C0019592
Urticaria	C0042109	IS_TREATED	["37517656_fullText_1","37517656_fullText_6"]	Histamine H1 Antagonists	C0019592
Allergic condition	C0851444	IS_TREATED	["37517656_fullText_1","37517656_fullText_7","35538735_fullText_1"]	Histamine H1 Antagonists	C0019592
Alzheimer's Disease	C0002395	IS_TREATED	["34151816_fullText_1","33831382_fullText_1"]	NMDA receptor antagonist	C0598695
Cirrhosis	C1623038	IS_TREATED	["37482222_fullText_4"]	Nitric Oxide	C0028128
Syndrome	C0039082	IS_TREATED	["34699855_fullText_1"]	Antidepressive Agents	C0003289
Epilepsy	C0014544	IS_TREATED	["33860531_fullText_4"]	Antidepressive Agents	C0003289
Fibromyalgia	C0016053	IS_TREATED	["34481450_fullText_3"]	Antidepressive Agents	C0003289
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["37256536_fullText_1"]	Gold	C0018026
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34342835_fullText_1","34489206_fullText_1"]	Glycopyrrolate	C0017970
Asthma	C0004096	IS_TREATED	["37428619_fullText_1"]	Glycopyrrolate	C0017970
Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844	IS_TREATED	["35389593_fullText_7"]	Glycopyrrolate	C0017970
