Phenotype	Phenotype_id	RELATION	PROVENANCE	Drug	Drug_id
ST Elevation Myocardial Infarction by ECG Finding	C3538872	IS_TREATED	["34037861_fullText_3","34037861_fullText_5","36480147_fullText_11","35762079_fullText_6"]	Ticagrelor	C1999375
ST Elevation Myocardial Infarction by ECG Finding	C3538872	IS_TREATED	["35950769_fullText_1","37506674_fullText_3"]	Aspirin	C0004057
ST Elevation Myocardial Infarction by ECG Finding	C3538872	IS_TREATED	["35762079_fullText_6"]	AR C124910XX	C3254492
ST Elevation Myocardial Infarction by ECG Finding	C3538872	IS_TREATED	["35950769_fullText_1","34037861_fullText_3"]	prasugrel	C1620287
ST Elevation Myocardial Infarction by ECG Finding	C3538872	IS_TREATED	["35762079_fullText_1"]	Morphine	C0026549
ST Elevation Myocardial Infarction by ECG Finding	C3538872	IS_TREATED	["34985465_fullText_2"]	Aspirin	C0004057
ST Elevation Myocardial Infarction by ECG Finding	C3538872	IS_TREATED	["37097605_fullText_7"]	Morphine	C0026549
ST Elevation Myocardial Infarction by ECG Finding	C3538872	IS_TREATED	["36206137_fullText_7","37581388_fullText_5"]	Ticagrelor	C1999375
Severe cognitive impairment	C3554639	IS_TREATED	["21670942_fullText_5"]	Program	C2728259
Myalgia	C0231528	IS_TREATED	["33998864_fullText_5"]	Marihuana	C0024808
Pain, Intractable	C0030200	IS_TREATED	["37812531_fullText_13"]	Opioids	C0242402
Abdominal Pain	C0000737	IS_TREATED	["35790401_fullText_15"]	Opioids	C0242402
Abdominal Pain	C0000737	IS_TREATED	["35790401_fullText_16","35790401_fullText_20"]	Opioids	C0242402
