Drug	Drug_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
Solifenacin	C1099677	INHIBITS	["35858980_fullText_2"]	Behavior showing increased motor activity	C0474395
Neurosteroids	C0815278	CAUSES	["35014105_fullText_11"]	Burst suppression	C0429306
Neurosteroids	C0815278	AFFECTS	["34506047_fullText_3","35014105_fullText_11"]	Excitability	C0235169
Muscarinic Antagonists	C0003385	CAUSES	["36124780_fullText_3"]	Poor compliance	C0032646
Muscarinic Antagonists	C0003385	AFFECTS	["37245173_fullText_3"]	Falls	C0085639
Muscarinic Antagonists	C0003385	DISRUPTS	["36002781_fullText_9"]	Excitability	C0235169
dalfampridine	C0000477	AFFECTS	["31968060_fullText_142"]	insensitivity	C0237677
gabazine	C0628385	CAUSES	["34884577_fullText_8"]	Hyperactive behavior	C0424295
Sertraline	C0074393	AFFECTS	["35879764_fullText_2"]	Weight Gain	C0043094
Sertraline	C0074393	PREVENTS	["35023557_fullText_7"]	Depressive Symptoms	C0086132
cabergoline	C0107994	INHIBITS	["36894421_fullText_8"]	Reduced concentration	C0424099
cabergoline	C0107994	INHIBITS	["36894421_fullText_6"]	Glucose low	C0860801
Cocaine	C0009170	CAUSES	["33940055_fullText_2"]	sleep loss	C0235161
Cocaine	C0009170	CAUSES	["36301205_fullText_5"]	<30 min	C3842955
Cocaine	C0009170	CAUSES	["36301205_fullText_3"]	Hyperactive behavior	C0424295
Cocaine	C0009170	CAUSES	["38017642_fullText_1"]	Drug seeking behavior	C0694536
Cocaine	C0009170	CAUSES	["38017642_fullText_1"]	Behavior showing increased motor activity	C0474395
Cocaine	C0009170	AFFECTS__SPEC__	["37466616_fullText_2"]	MISUSE	C0549649
Cannabinoids	C0006864	CAUSES	["35429587_fullText_3"]	Social Interaction	C0037420
Cannabinoids	C0006864	AFFECTS	["37834122_fullText_7"]	Illness (finding)	C0221423
Cannabinoids	C0006864	AFFECTS	["37278703_fullText_7"]	Anticipated	C3840775
