Drug	Drug_id	RELATION	PROVENANCE	Disease	Disease_id
Hypnotics	C0020591	CAUSES	["30301614_fullText_34"]	Respiratory Failure	C1145670
Hypnotics	C0020591	AFFECTS	["33737028_fullText_3"]	Hypomenorrhea	C0020624
Norepinephrine	C0028351	CAUSES	["36169206_fullText_7"]	Hypertensive disease	C0020538
Norepinephrine	C0028351	ASSOCIATED_WITH	["6112253_fullText_1"]	Phenylketonurias	C0031485
Norepinephrine	C0028351	ASSOCIATED_WITH	["33923533_fullText_5"]	OROFACIAL CLEFT 1	C1861537
Fleroxacin	C0085161	AFFECTS	["10078039_fullText_9"]	Machado-Joseph Disease	C0024408
Fleroxacin	C0085161	CAUSES	["10078039_fullText_3"]	Encephalopathies	C0085584
Tyrosine	C0041485	CAUSES	["31631652_fullText_3"]	Hyperphenylalaninaemia	C0751435
Tyrosine	C0041485	CAUSES	["6950403_fullText_2"]	Phenylketonurias	C0031485
Tyrosine	C0041485	AFFECTS	["9497192_fullText_1"]	fetal damage	C0854268
Tyrosine	C0041485	AFFECTS	["33581706_fullText_2"]	Phenylketonurias	C0031485
Tyrosine	C0041485	PREDISPOSES	["7967476_fullText_7"]	Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844
Tyrosine	C0041485	ASSOCIATED_WITH	["32245393_fullText_1"]	Tyrosinemia, Type I	C0268490
