Gene	Gene_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
MBNL2 gene	C1424516	CAUSES	["26501102_fullText_128","26501102_fullText_134","26501102_fullText_136"]	Lethal	C3151529
CACNA1A gene	C1456413	CAUSES	["31636082_fullText_5"]	Lethal	C3151529
COG8 gene	C1425655	CAUSES	["34943782_fullText_162"]	Lethal	C3151529
COG5 gene	C1423002	CAUSES	["34943782_fullText_162"]	Lethal	C3151529
NGLY1 gene	C1425023	CAUSES	["35653343_fullText_76"]	Lethal	C3151529
LGALS4 gene	C1416832	CAUSES	["26940433_fullText_21"]	Lethal	C3151529
TMEM173 gene	C1823437	CAUSES	["30135079_fullText_71"]	Lethal	C3151529
PMM2 gene	C1418674	CAUSES	["24305089_fullText_3"]	Lethal	C3151529
TFAM gene	C1420696	CAUSES	["30059502_fullText_57"]	Lethal	C3151529
MBNL1 gene	C1417055	CAUSES	["22846424_fullText_6","26501102_fullText_128","26501102_fullText_134","26501102_fullText_136"]	Lethal	C3151529
SURF1 gene	C1420527	CAUSES	["25164807_fullText_4","25164807_fullText_63"]	Lethal	C3151529
ACAD9 gene	C1427586	CAUSES	["26826406_fullText_6"]	Lethal	C3151529
DMPK gene	C1414085	AFFECTS	["26756355_fullText_134"]	Lethal	C3151529
SLC12A2 gene	C1420091	AFFECTS	["35565658_fullText_193"]	Lethal	C3151529
LGALS4 gene	C1416832	DISRUPTS	["35653343_fullText_101"]	Lethal	C3151529
TFAM gene	C1420696	DISRUPTS	["30059502_fullText_34"]	Lethal	C3151529
AOC1 gene	C1412100	DISRUPTS	["21730182_fullText_4"]	Lethal	C3151529
SRGN gene	C1418888	DISRUPTS	["36422805_fullText_2"]	Lethal	C3151529
TAC1 wt Allele	C1705924	AFFECTS	["34448639_fullText_2"]	Handling	C1832073
ATG5 gene	C1825497	AFFECTS	["33752242_fullText_3"]	Handling	C1832073
SMAD5-AS1 gene	C2239937	AFFECTS	["34601389_fullText_3"]	Handling	C1832073
NTS gene	C1417869	ASSOCIATED_WITH		Muscle Rigidity	C0026837
GBA gene	C1414998	ASSOCIATED_WITH		Muscle Rigidity	C0026837
GCH1 gene	C1415012	ASSOCIATED_WITH		Muscle Rigidity	C0026837
NPY gene	C1417815	ASSOCIATED_WITH		Muscle Rigidity	C0026837
IMPACT gene	C1825598	ASSOCIATED_WITH	["34933094_fullText_5"]	Muscle Rigidity	C0026837
LAMP1 gene	C1416788	AFFECTS	["27415628_fullText_87"]	Protection	C1545588
PDIA3 gene	C1538607	AFFECTS	["36374735_fullText_3"]	Protection	C1545588
IMPACT gene	C1825598	DISRUPTS	["36228820_fullText_3"]	Protection	C1545588
ATXN3 gene	C1538301	CAUSES	["36798010_fullText_3"]	Mortality, Premature	C1855073
MBNL1 gene	C1417055	CAUSES	["31968060_fullText_116"]	Mortality, Premature	C1855073
